"JS_score","ITL_score","USSL"
4.53198653198653,1.6,"tre"
3.60606060606061,2,"quattro"
4.07744107744108,1.4,"tre"
2.99326599326599,1.4,"tre"
4.46464646464646,1.4,"tre"
3.48821548821549,2.6,"quattro"
3.5959595959596,1.2,"tre"
3.73063973063973,1,"quattro"
3.79461279461279,1.2,"tre"
2.46127946127946,3,"tre"
3.67340067340067,1,"quattro"
4.20875420875421,3.6,"quattro"
3.63636363636364,3.4,"quattro"
1.45454545454545,2.6,"tre"
2.85858585858586,3.2,"tre"
4.1986531986532,1,"quattro"
1.25589225589226,4,"tre"
2.88888888888889,2.8,"quattro"
4.66666666666667,1,"tre"
3.92929292929293,1,"tre"
3.27609427609428,1.6,"quattro"
3.3973063973064,1.6,"tre"
3.5959595959596,1,"tre"
2.79461279461279,2,"quattro"
3.27609427609428,3.2,"quattro"
5,1,"tre"
4.52861952861953,1,"tre"
2.85858585858586,1.4,"quattro"
3.5959595959596,3,"tre"
3.12457912457912,2,"quattro"
4.7979797979798,1,"quattro"
4.7979797979798,1,"quattro"
4.7979797979798,1.4,"tre"
4.12794612794613,1.6,"tre"
4.3973063973064,2.6,"quattro"
4.07744107744108,1,"tre"
4.13131313131313,2,"tre"
3.32996632996633,1.8,"quattro"
3.32659932659933,3.8,"quattro"
4.86531986531987,1,"tre"
2.01346801346801,2.8,"quattro"
4.3973063973064,1,"quattro"
3.96969696969697,1,"quattro"
2.99326599326599,1.4,"tre"
3.5959595959596,1,"quattro"
4.3973063973064,1,"tre"
3.27609427609428,3,"tre"
4.02356902356902,1.6,"tre"
4.66666666666667,1,"tre"
4.26599326599327,2.2,"quattro"
3.76767676767677,1.2,"tre"
3.5959595959596,1,"tre"
4.1952861952862,1.6,"tre"
3.26262626262626,1.2,"quattro"
3.92929292929293,1.6,"quattro"
3.46127946127946,2,"quattro"
3.08754208754209,3,"quattro"
3.92929292929293,1.8,"quattro"
4.87878787878788,1,"quattro"
3.91582491582492,1,"quattro"
2.53535353535354,2.4,"quattro"
4.66666666666667,1,"quattro"
4.32996632996633,1.8,"quattro"
4.18518518518519,1,"tre"
3.67340067340067,1,"tre"
4.1986531986532,1.2,"tre"
1.98989898989899,2.2,"tre"
4.86531986531987,1.8,"tre"
2.31313131313131,1,"quattro"
3.92929292929293,1,"tre"
3.996632996633,1,"tre"
4.98653198653199,1,"tre"
2.88888888888889,1,"tre"
3.9023569023569,1,"quattro"
4.93265993265993,2.2,"quattro"
3.5959595959596,1,"tre"
3.68686868686869,3.2,"tre"
4.54545454545455,1.4,"tre"
4.3973063973064,3.2,"tre"
2.57575757575758,3.2,"tre"
3.67340067340067,1.4,"quattro"
4.06397306397306,2.2,"tre"
3.26262626262626,1.6,"tre"
4.81144781144781,1,"tre"
3.92929292929293,1.4,"quattro"
3.67676767676768,1,"tre"
4.33333333333333,1,"quattro"
4.66666666666667,1,"tre"
3.996632996633,1,"tre"
2.78787878787879,2.4,"quattro"
4.1986531986532,1,"quattro"
4.66329966329966,1.4,"tre"
3.86195286195286,1,"tre"
3.1952861952862,2.4,"tre"
4.06397306397306,3,"quattro"
5,2,"tre"
2.1952861952862,1.8,"quattro"
2.39057239057239,2,"quattro"
3.14141414141414,1,"quattro"
2.99326599326599,2.8,"quattro"
1.04040404040404,3,"tre"
4.1986531986532,1,"quattro"
3.46464646464646,2,"quattro"
4.06397306397306,1,"quattro"
4.66329966329966,1,"quattro"
4.87878787878788,1,"tre"
1.71043771043771,1.8,"quattro"
3.46127946127946,1.4,"tre"
1.66666666666667,4.2,"quattro"
3.79461279461279,2.8,"tre"
4.74410774410774,1,"tre"
4.13131313131313,2.6,"quattro"
3.5959595959596,2.4,"quattro"
3.92929292929293,2,"quattro"
4.86531986531987,1,"tre"
3.32659932659933,1.4,"tre"
