"Cell_Line","Condition","Time_h","Replicate","Absorbance","ID_Traiettoria"
"MDA-MB 231","ShChD4_363",48,2,0.1875,"MDA-MB 231_ShChD4_363_2"
"MDA-MB 231","ShChD4_363",48,3,0.1524,"MDA-MB 231_ShChD4_363_3"
"MDA-MB 231","SCR",72,1,0.3212,"MDA-MB 231_SCR_1"
"MDA-MB 231","SCR",72,2,0.3366,"MDA-MB 231_SCR_2"
"MDA-MB 231","SCR",72,3,0.2449,"MDA-MB 231_SCR_3"
"MDA-MB 231","shPADI3",72,1,0.0782,"MDA-MB 231_shPADI3_1"
"MDA-MB 231","shPADI3",72,2,0.0999,"MDA-MB 231_shPADI3_2"
"MDA-MB 231","shPADI3",72,3,0.0808,"MDA-MB 231_shPADI3_3"
"MDA-MB 231","ShChD4_360",72,1,0.1355,"MDA-MB 231_ShChD4_360_1"
"MDA-MB 231","ShChD4_360",72,2,0.1949,"MDA-MB 231_ShChD4_360_2"
"MDA-MB 231","ShChD4_360",72,3,0.148,"MDA-MB 231_ShChD4_360_3"
"MDA-MB 231","ShChD4_363",72,1,0.1139,"MDA-MB 231_ShChD4_363_1"
"MDA-MB 231","ShChD4_363",72,2,0.1109,"MDA-MB 231_ShChD4_363_2"
"MDA-MB 231","ShChD4_363",72,3,0.1237,"MDA-MB 231_ShChD4_363_3"
"MDA-MB 231","SCR",96,1,0.2297,"MDA-MB 231_SCR_1"
"MDA-MB 231","SCR",96,2,0.2562,"MDA-MB 231_SCR_2"
"MDA-MB 231","SCR",96,3,0.2311,"MDA-MB 231_SCR_3"
"MDA-MB 231","shPADI3",96,1,0.0846,"MDA-MB 231_shPADI3_1"
"MDA-MB 231","shPADI3",96,2,0.083,"MDA-MB 231_shPADI3_2"
"MDA-MB 231","shPADI3",96,3,0.1201,"MDA-MB 231_shPADI3_3"
"MDA-MB 231","ShChD4_360",96,1,0.1675,"MDA-MB 231_ShChD4_360_1"
"MDA-MB 231","ShChD4_360",96,2,0.2327,"MDA-MB 231_ShChD4_360_2"
"MDA-MB 231","ShChD4_360",96,3,0.1685,"MDA-MB 231_ShChD4_360_3"
"MDA-MB 231","ShChD4_363",96,1,0.1019,"MDA-MB 231_ShChD4_363_1"
"MDA-MB 231","ShChD4_363",96,2,0.1024,"MDA-MB 231_ShChD4_363_2"
"MDA-MB 231","ShChD4_363",96,3,0.0865,"MDA-MB 231_ShChD4_363_3"
