Azienda_code,Unita_code,Qualifica_code,ID_base,CAW_received,ITL_score
ULSS4,ADI,MED,SN03_4_ADIMED,29,14
ULSS3,MED,MED,SN26_3_MEDMED,32,15
ULSS3,PSO,SAN,SN32_3_PSOINF,27,31
ULSS3,MED,SAN,SN45_3_MEDINF,33,14
ULSS3,MED,SAN,SN65_3_MEDINF,13,22
ULSS4,ADI,SAN,SN74_4_ADIOSS,33,14
ULSS3,ADI,SAN,SN81_3_ADIINF,35,17
ULSS4,ADI,SAN,SN90_4_ADIINF,23,16
ULSS3,MED,SAN,SP72_3_MEDOSS,31,14
ULSS4,MED,SAN,SR03_4_MEDINF,34,14
ULSS4,ADI,SAN,SR16_4_ADIINF,34,12
ULSS3,MED,SAN,SS01_3_MEDINF,38,14
ULSS3,MED,SAN,SS25_3_MEDINF,33,23
ULSS4,MED,SAN,SS50_4_MEDINF,33,17
ULSS4,PSO,SAN,ST21_4_PSOTEC,34,14
ULSS4,PSO,SAN,ST66_4_PSOTEC,15,14
ULSS4,PSO,SAN,TD04_4_PSOOSS,40,14
ULSS4,MED,MED,TD33_4_MEDMED,18,23
ULSS3,MED,SAN,TL31_3_MEDINF,28,36
ULSS4,MED,SAN,TL54_4_MEDOSS,22,24
ULSS4,PSO,SAN,TL76_4_PSOINF,33,13
ULSS3,MED,SAN,TL92_3_MEDINF,27,17
ULSS3,MED,MED,TN12_3_MEDMED,27,16
ULSS4,MED,SAN,TN16_4_MEDOSS,39,13
ULSS4,MED,MED,TN25_4_MEDMED,38,14
ULSS3,MED,SAN,TN47_3_MEDINF,35,34
ULSS3,PSO,SAN,TN77_3_PSOINF,37,27
ULSS4,PSO,SAN,TN78_4_PSOTEC,40,12
ULSS3,ADI,SAN,TP43_3_ADIINF,40,11
ULSS3,PSO,SAN,TR01_3_PSOTEC,31,27
ULSS3,PSO,SAN,TR62_3_PSOINF,17,34
ULSS4,MED,SAN,TR79_4_MEDINF,34,32
ULSS4,ADI,SAN,TR95_4_ADIINF,34,14
ULSS3,PSO,SAN,TS02_3_PSOOSS,15,15
ULSS4,PSO,SAN,TS15_4_PSOINF,23,15
ULSS4,PSO,SAN,TS37_4_PSOINF,31,16
ULSS3,PSO,SAN,TS79_3_PSOTEC,38,13
ULSS4,MED,SAN,TT23_4_MEDOSS,30,11
ULSS3,PSO,SAN,TT31_3_PSOINF,21,23
ULSS4,MED,SAN,TT36_4_MEDOSS,27,27
ULSS4,MED,SAN,TT55_4_MEDOSS,45,27
ULSS3,PSO,MED,TT56_3_PSOMED,20,19
ULSS3,PSO,SAN,TZ89_3_PSOTEC,25,13
ULSS3,PSO,SAN,UE04_3_PSOTEC,34,17
ULSS4,ADI,SAN,VG56_4_ADITEC,33,20
ULSS3,PSO,SAN,VL02_3_PSOINF,14,17
ULSS3,ADI,SAN,VN99_3_ADIINF,29,22
ULSS3,ADI,SAN,VR47_3_ADIINF,31,29
ULSS4,MED,SAN,VZ58_4_MEDINF,25,32
ULSS4,MED,SAN,ZC30_4_MEDINF,36,12
ULSS3,PSO,SAN,ZN08_3_PSOOSS,29,11
ULSS3,MED,SAN,ZT05_3_MEDOSS,31,18
ULSS4,ADI,SAN,ZT13_4_ADIINF,25,17
ULSS3,PSO,SAN,ZT29_3_PSOOSS,22,16
ULSS4,ADI,SAN,ZT44_4_ADIINF,41,13
ULSS4,PSO,SAN,ZT80_4_PSOTEC,40,17
ULSS3,ADI,SAN,ZT88_3_ADIINF,28,20
